🕘️更新时间,#genre#
2026-09-26 00:16:59,http://xjj1.716888.xyz/fenlei/4k/4k.php

📺央视频道,#genre#
CCTV-12,http://39.87.249.126:8090/udp/239.253.254.235:8000
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=625d6041e8ff594aef93d7ee5d8a98f3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=18337d7a8a925fefa6736f2af5f779a5&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=ceb09a1a782b93dd7f13c95e7bc5d37b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=ca0ccc1cc485217f8cd8388441629dc6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=9ea97cd43bafe3b9e0250240d221d0e2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-13,http://58.35.95.16:20009/rtp/233.18.204.79:5140
CCTV-13,http://39.77.156.202:4002/rtp/239.253.254.175:8000$山东联通21
CCTV-13,http://39.77.25.244:4002/rtp/239.253.254.175:8000$山东联通31
CCTV-13,http://222.92.158.110:9889/rtp/239.49.0.196:8000
CCTV-13,http://221.220.135.44:8012/rtp/239.3.1.124:8128$北京联通11
CCTV-13,http://222.92.158.110:9889/rtp/239.49.8.109:8000
CCTV-13,http://60.4.29.46:8077/rtp/239.253.92.13:8008$河北联通11
CCTV-13,http://183.222.15.202:4321/rtp/239.11.0.24:5140
CCTV-13,http://182.135.66.163:18888/rtp/239.94.0.37:5140
CCTV-13,http://182.135.66.163:1888/rtp/239.94.0.37:5140
CCTV-13,http://182.135.66.163:18888/rtp/239.94.0.13:5140
CCTV-13,http://39.77.161.85:4002/rtp/239.253.254.175:8000$山东联通11
CCTV-13,http://182.135.66.163:1888/rtp/239.94.0.13:5140
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=dea6e23e9d7b5317f3605c247aaba891&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=c1b1baab75f3bdd8eece6892ec6b0c8b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=cabc817805412b81748c942b2dcb39c5&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=d97345047af477cfec39d9d99a9e62f8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-14,http://58.35.95.16:20009/rtp/233.18.204.80:5140
CCTV-14,http://39.77.161.85:4002/rtp/239.253.254.236:8000$山东联通11
CCTV-14,http://39.77.156.202:4002/rtp/239.253.254.236:8000$山东联通21
CCTV-14,http://39.77.25.244:4002/rtp/239.253.254.236:8000$山东联通31
CCTV-14,http://60.4.29.46:8077/rtp/239.253.92.198:6063$河北联通11
CCTV-14,http://222.92.158.110:9889/rtp/239.49.8.56:9826
CCTV-14,http://183.222.15.202:4321/rtp/239.11.0.114:5140
CCTV-14,http://182.135.66.163:1888/rtp/239.94.0.14:5140
